number,value,hedge_ratio,rebalance_threshold,target_final_nav,target_sharpe,target_max_drawdown,target_turnover,target_number_of_rebalances,target_total_costs
361,0.6310802560039921,0.8499892802109696,0.0696593432474488,103761.01122053109,0.6327648290250737,-0.0204427412704383,22182.966295582977,13.0,217.18296629558296
624,0.6310782602770537,0.849982458284155,0.0694386732928133,103761.01449075578,0.6327627358959661,-0.0204438872578397,22182.788257369877,13.0,217.18278825736988
352,0.6310711080097496,0.849958014831372,0.0694866669523509,103761.0262082058,0.6327552346297072,-0.0204479934125467,22182.1503336903,13.0,217.1821503336903
245,0.6310621646545305,0.8499274609672398,0.0697239860792397,103761.04085480155,0.632745855032246,-0.0204531260293774,22181.35294088309,13.0,217.1813529408831
495,0.6309727619809482,0.8496226825545836,0.0695177714589416,103761.18695632894,0.6326521007906422,-0.0205043244504616,22173.39885321049,13.0,217.17339885321047
242,0.6309458299979283,0.8495311018433757,0.0695741541592194,103761.23085734456,0.6326238612357012,-0.0205197086881187,22171.008785620998,13.0,217.17100878562096
183,0.6307772851096559,0.8489603774940229,0.0695543515150773,103761.50444528836,0.6324471676540628,-0.0206155819949751,22156.114057769104,13.0,217.15611405776912
440,0.6301583403013742,0.8499965556149972,0.0699731332004145,103753.85216271924,0.6318572649368149,-0.0205126821116237,22175.759655181537,13.0,217.17575965518157
174,0.6301208280436481,0.8498676097783295,0.0697351784572758,103753.91506095388,0.6318179094536626,-0.0205343323698248,22172.395556981854,13.0,217.17239555698183
80,0.6301199169488643,0.8498644806171772,0.0697410841180704,103753.91658732142,0.6318169536288618,-0.0205348577619436,22172.313919562057,13.0,217.17231391956204
