number,state,value,hedge_ratio,rebalance_threshold,score,target_final_nav,target_net_pnl,target_annualized_return,target_annualized_volatility,target_sharpe,target_max_drawdown,target_turnover,target_number_of_rebalances,target_total_costs,target_average_health_factor,target_average_idle_ratio,plain_lp_final_nav,plain_lp_net_pnl,plain_lp_annualized_return,plain_lp_annualized_volatility,plain_lp_sharpe,plain_lp_max_drawdown,plain_lp_turnover,plain_lp_number_of_rebalances,plain_lp_total_costs,plain_lp_average_health_factor,plain_lp_average_idle_ratio,fixed_hedge_final_nav,fixed_hedge_net_pnl,fixed_hedge_annualized_return,fixed_hedge_annualized_volatility,fixed_hedge_sharpe,fixed_hedge_max_drawdown,fixed_hedge_turnover,fixed_hedge_number_of_rebalances,fixed_hedge_total_costs,fixed_hedge_average_health_factor,fixed_hedge_average_idle_ratio,buy_hold_final_nav,buy_hold_net_pnl,buy_hold_annualized_return,buy_hold_annualized_volatility,buy_hold_sharpe,buy_hold_max_drawdown,buy_hold_turnover,buy_hold_number_of_rebalances,buy_hold_total_costs,buy_hold_average_health_factor,buy_hold_average_idle_ratio
11,TrialState.COMPLETE,0.4655612248677607,0.6650870039449949,0.09227622629858433,0.4655612248677607,103322.255664052,3397.255664052005,0.03409303083098214,0.07889826222217483,0.46434019752579003,-0.05663890458480403,14395.669392764246,6.0,104.39566939276425,2.5554974908684587,0.163502445228705,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105668.92572839414,5743.925728394141,0.057644754341222626,0.0854620219451636,0.6984660495524109,-0.06953503047220155,0.0,0.0,0.0,2.936470427961637,0.15935393010921733,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
12,TrialState.COMPLETE,0.4378618225134269,0.7702327568542707,0.07648210546195897,0.4378618225134269,102739.71600822656,2814.716008226562,0.02824675450825076,0.06801988570081384,0.4434978312345668,-0.035879696745125256,24985.423848707716,12.0,204.9854238487077,2.180274820758759,0.19168837273973097,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105875.30939373617,5950.30939373617,0.05971613775262008,0.07544550181596973,0.8064351159104011,-0.05272601171159519,0.0,0.0,0.0,2.5356079726892156,0.184127132429249,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
13,TrialState.COMPLETE,0.39601277595704676,0.6588002895527284,0.07709434705231588,0.39601277595704676,102776.72927866364,2851.729278663639,0.02861821116242158,0.0784003477334476,0.3990901065422826,-0.057697442745537786,20123.519712258007,10.0,170.123519712258,2.5280737047623427,0.1621633241126385,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105656.58595124361,5731.5859512436145,0.05752090569740109,0.08612917367800564,0.692361566448415,-0.070558494443129,0.0,0.0,0.0,2.96449219904262,0.1578696238522696,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
14,TrialState.COMPLETE,0.35200991613080634,0.7093592537468609,0.11860866536700247,0.35200991613080634,102331.54451595902,2406.5445159590163,0.024150463866450478,0.0751147000346858,0.35523921110316736,-0.04927021458939651,18317.187502941393,6.0,108.3171875029414,2.416060093889982,0.16932260039054112,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105755.8248083307,5830.824808330697,0.058516921394872856,0.08096595180548903,0.7428057240953477,-0.06231899752327574,0.0,0.0,0.0,2.753200594466376,0.1697966309065932,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
15,TrialState.COMPLETE,0.2303306522593629,0.8416281266746788,0.03125047977094491,0.2303306522593629,101410.49964127653,1485.4996412765322,0.014907289998114637,0.06350278344378861,0.264750188485406,-0.025869946514875508,73655.4066378678,83.0,1318.6554066378678,1.9804697044248694,0.2036702588456187,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,106015.44665752753,6090.446657527529,0.06112264106455423,0.07016441163585645,0.8805482310957349,-0.042489269939178675,0.0,0.0,0.0,2.320512180150788,0.20089510368607094,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
16,TrialState.COMPLETE,0.4224391138999474,0.5775207955566195,0.08141217461035943,0.4224391138999474,103332.85112031185,3407.851120311854,0.03419936600285278,0.08950386510237125,0.42045578198765027,-0.07263762530183904,12927.164847137803,6.0,102.9271648471378,2.9589920501778977,0.14087110581146586,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105497.047791842,5572.047791841993,0.05591969845788203,0.09530301489961551,0.6185591517222719,-0.08382656172619118,0.0,0.0,0.0,3.381710813069089,0.13864631726329274,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
17,TrialState.COMPLETE,0.4979373421211021,0.7337770625951466,0.058807989976638435,0.4979373421211021,103272.17367240496,3347.173672404955,0.033590412278055926,0.07071722795353642,0.5025145274263807,-0.042746570058592614,25388.799151282656,17.0,280.3887991512827,2.2866074625244024,0.18144982131119552,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105803.75291527076,5878.7529152707575,0.05899795513032813,0.07865202078192464,0.7680842654375304,-0.058332626292694534,0.0,0.0,0.0,2.6615826777126084,0.17554876526294785,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
18,TrialState.COMPLETE,0.3415168812867827,0.5946697781215966,0.10153614651979753,0.3415168812867827,102581.61523492081,2656.6152349208132,0.02666009571480421,0.08807055968044984,0.3427838103451619,-0.07004763208488007,15652.600772615278,6.0,105.65260077261527,2.894268881681196,0.1411422197626801,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105530.70839895848,5605.708398958479,0.05625753311587167,0.09328973496109091,0.633299675797652,-0.08102852261293825,0.0,0.0,0.0,3.2841896308823957,0.1427073934434977,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
19,TrialState.COMPLETE,0.5952592449896347,0.7760968166261903,0.06453589709675375,0.5952592449896347,103765.31091200914,3840.3109120091394,0.03853952423875806,0.06722615541934013,0.5960721347739946,-0.03275857909684121,20464.612463172634,13.0,215.46461246317264,2.1656709850392493,0.1946568301023115,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105886.81957000152,5961.81957000152,0.05983166073056734,0.07495965071702086,0.8126280721272008,-0.0518853437128034,0.0,0.0,0.0,2.5164493363033023,0.18550595101328496,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
20,TrialState.COMPLETE,0.5211021385994141,0.7892052963613929,0.06769153967825499,0.5211021385994141,103231.25524092076,3306.2552409207565,0.033179758922399216,0.06619779755105842,0.526139091364424,-0.03066083301845568,26161.462067085307,15.0,251.16146206708532,2.117366013024526,0.19726207939116264,104405.33184806425,4555.331848064248,0.045749909919045706,0.3617198435571055,0.30497452733409314,-0.3569731755453921,0.0,0.0,0.0,inf,0.0,105912.5493405337,5987.549340533704,0.06008990014247062,0.07390546005518832,0.8264526044730267,-0.05000603798361458,0.0,0.0,0.0,2.474651815073173,0.18858711562212957,94137.82318598832,-5862.1768140116765,-0.05877798846322113,0.3335077918349891,-0.0147141048355953,-0.32483243304392084,0.0,0.0,0.0,inf,0.0
