strategy_name,regime,observations,share_of_strategy_observations,start_timestamp,end_timestamp,start_nav,end_nav,simple_return_start_to_end,compounded_return_inside_regime,annualized_return_inside_regime,annualized_volatility_inside_regime,sharpe_inside_regime,local_max_drawdown_inside_regime,min_global_drawdown_seen_in_regime,mean_nav,median_nav,min_nav,max_nav,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_costs,total_turnover,number_of_rebalances,circuit_breaker_events,average_health_factor,min_health_factor,average_idle_ratio,max_idle_ratio,average_hedge_error,max_hedge_error,average_borrowed_weth,final_borrowed_weth,average_lp_eth_delta,final_lp_eth_delta
buy_hold_50_50,downtrend,669,0.07657090534508412,2025-01-07 15:00:00+00:00,2025-12-16 13:00:00+00:00,101548.90980579054,93345.64518050756,-0.08078141499472014,-0.5715202710445333,-0.999984849311334,0.5433042610265859,-1.8405613963377347,-0.29974040830693405,-0.3248324330439208,91854.18546703362,90800.22042178005,71110.59811747886,118327.92207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,,,,
buy_hold_50_50,high_vol_chop,1573,0.1800389149593682,2025-01-09 15:00:00+00:00,2025-12-19 16:00:00+00:00,99440.00953175264,94172.6736566186,-0.05296998562185484,0.11421147064536008,0.8262557640239709,0.4156856705893621,1.987693640852473,-0.28720318960425284,-0.3174213071636641,94295.20466265103,93300.36935541524,71891.15929941618,120740.6469677112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,,,,
buy_hold_50_50,sideways,5758,0.6590362824768227,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,100387.52531871798,94137.82318598832,-0.06225576447758441,-0.08996351428095839,-0.13360958653668187,0.24731177813205343,-0.5402475674463847,-0.30650470884357583,-0.3065047088435758,96531.61413083987,94893.14011676397,73040.92696294532,123485.34493029906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,,,,
buy_hold_50_50,uptrend,713,0.08160695891038114,2025-01-03 22:00:00+00:00,2025-12-20 02:00:00+00:00,103838.76444656262,94406.0526629334,-0.09083998479665523,1.1680315369082108,13455.761454164265,0.43329334788344837,31054.622739751205,-0.2940757155253403,-0.3040230210130378,95373.5245125964,94237.60872155368,73302.30549267246,122252.17443107352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,,,,
buy_hold_50_50,warmup,24,0.0027469383083438253,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,100000.0,99940.57547956632,-0.0005942452043368185,-0.0005942452043364854,-0.19504102924522382,0.12057056068863424,-1.6176505121254665,-0.005486715119742636,-0.0054867151197426,99772.85138408991,99741.89801024664,99451.32848802574,100067.466936733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,,,,
fractal_dynamic_aave_hedged_lp,downtrend,669,0.07657090534508412,2025-01-07 15:00:00+00:00,2025-12-16 13:00:00+00:00,100138.46114778084,103659.97267548942,0.035166423443552475,-0.07165399518885596,-0.6222647008219463,0.1011882451056218,-6.149574984450191,-0.01818441604015486,-0.0204427412704383,101205.2078630586,100588.00625520996,98496.2722330488,104479.4425552798,1181.0121781303988,63.63728368576535,164.78019780776862,105.0,11.443370990879282,116.44337099087929,11443.370990879284,7,3,2.1186045772959083,1.4763657927503873,0.21944148436825137,0.289026833068016,0.03000522023976431,0.0694061418951455,7.300828318934739,7.22292373160264,8.834734049534191,8.892692922198362
fractal_dynamic_aave_hedged_lp,high_vol_chop,1573,0.1800389149593682,2025-01-09 15:00:00+00:00,2025-12-19 16:00:00+00:00,100035.87801734835,103707.60113308752,0.036704062467491916,0.024282214711573546,0.1429485595442037,0.06344655876402933,2.2530545758337897,-0.019271150633904943,-0.0192711506339049,101497.43351562653,100669.71895069504,98614.07781230749,104552.9496934212,1087.4002683548235,157.7857958406235,387.0238378316263,15.0,1.3688846438005131,16.368884643800513,1368.8846438005132,1,45,2.0035798892903185,1.425656811695162,0.21633628403859578,0.2886547829449046,0.024187280924106172,0.0673387068381227,7.2477201229524075,7.22292373160264,8.583356310905765,8.80019171443119
fractal_dynamic_aave_hedged_lp,sideways,5758,0.6590362824768227,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,99971.99753633268,103761.01122053109,0.037900749985728455,0.025369338562331256,0.03885016001786634,0.05628852092686633,0.6901968532508248,-0.01738796990973457,-0.0173879699097344,101897.08133598817,101729.37884545868,98836.6240717762,104745.34885561424,2263.622726689742,602.0736978509935,1426.1572271551454,15.0,2.181972034350043,17.181972034350043,2181.9720343500426,1,258,1.9480984942889976,1.37259257640272,0.21166267034617192,0.2879389739444444,0.022810938178929038,0.0688965173618918,7.193313207316854,7.22292373160264,8.473615797771137,8.807336022194724
fractal_dynamic_aave_hedged_lp,uptrend,713,0.08160695891038114,2025-01-03 22:00:00+00:00,2025-12-20 02:00:00+00:00,100175.10366860389,103688.4074720479,0.03507162633009697,0.06467348767336056,1.1596546334680027,0.06317779146962418,18.355415827182934,-0.01727653199608159,-0.0183301142063098,101670.50762864685,101354.4354305067,98708.70074458388,104703.83608966623,597.3882758081613,75.18831447007506,177.0665408073591,60.0,7.1887386265531354,67.18873862655313,7188.738626553135,4,63,1.9319013850153837,1.395706789599137,0.21811674336577513,0.2883852284098677,0.025751770514453633,0.0691122250246257,7.3879009279139956,7.22292373160264,8.544265865368315,8.769488840724101
fractal_dynamic_aave_hedged_lp,warmup,24,0.0027469383083438253,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,99925.0,99955.78284460024,0.00030805949062040483,0.00030805949062107096,0.11898765630570951,0.062072621568606476,1.916910439720949,-0.0015441189057988636,-0.0015441189057988,99928.60986427545,99943.59438439585,99809.9337156903,100019.15107632018,7.307572109220294,2.4395755248316213,5.7765748637056635,0.0,0.0,0.0,0.0,0,0,1.8939346826182806,1.882862728245672,0.21231800650992114,0.2125730639828942,0.002323798086260146,0.0060636693369978,6.320105268457741,6.320105268457741,7.455351790969729,7.444691597788418
fractal_fixed_hedge_lp,downtrend,669,0.07657090534508412,2025-01-07 15:00:00+00:00,2025-12-16 13:00:00+00:00,100138.46114778084,105878.90162279346,0.05732503185305671,-0.09418424220040222,-0.7261752139690252,0.11941162364208303,-6.081277448714855,-0.0390799564898483,-0.0412902187977571,101918.84093946914,101140.17103102274,96400.02027472395,106823.39427810843,1181.0121781303988,57.208981913382395,164.78019780776862,0.0,0.0,0.0,0.0,0,0,2.4957091785075973,1.4188005156595582,0.2050563038532255,0.2181398744330806,0.0,0.0,6.3201052684577395,6.320105268457741,8.834734049534191,8.892692922198362
fractal_fixed_hedge_lp,high_vol_chop,1573,0.1800389149593682,2025-01-09 15:00:00+00:00,2025-12-19 16:00:00+00:00,100035.87801734835,105977.48667556298,0.05939477691378103,0.029097983075138334,0.17319774572591484,0.07434211828548687,2.329739180430734,-0.03805003464810708,-0.0380500346481073,102476.66900202884,101673.91729785428,96725.82671150444,106949.69831025715,1087.4002683548235,142.45112459158338,387.0238378316263,0.0,0.0,0.0,0.0,0,0,2.337772242141296,1.370068738736108,0.203799591641179,0.217387797161301,0.0,0.0,6.3201052684577395,6.320105268457741,8.583356310905765,8.80019171443119
fractal_fixed_hedge_lp,sideways,5758,0.6590362824768227,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,99971.99753633268,106031.8582144906,0.060615580637523925,0.02499216229572454,0.03826885009214642,0.0580519654760356,0.659217130347536,-0.032274007812417516,-0.0330113532059227,103067.05714907427,103405.83006193882,97232.47533730164,107104.08156025712,2263.622726689742,550.4668005634398,1426.1572271551454,0.0,0.0,0.0,0.0,0,0,2.264932066779232,1.3190735417695485,0.2022839927694902,0.2162144582354888,0.0,0.0,6.32010526845774,6.320105268457741,8.473615797771137,8.807336022194724
fractal_fixed_hedge_lp,uptrend,713,0.08160695891038114,2025-01-03 22:00:00+00:00,2025-12-20 02:00:00+00:00,100175.10366860389,105972.55241597389,0.05787314946584865,0.11022577214672036,2.613503757450681,0.07865213962065928,33.22864158630214,-0.032904731542051535,-0.0339415586898889,102839.91240960282,102520.904150753,97138.94147619768,107106.35965272514,597.3882758081613,66.70224013099093,177.0665408073591,0.0,0.0,0.0,0.0,0,0,2.3015464068030895,1.3412865040063984,0.20301210325446337,0.2164688177368042,0.0,0.0,6.32010526845774,6.320105268457741,8.544265865368315,8.769488840724101
fractal_fixed_hedge_lp,warmup,24,0.0027469383083438253,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,99925.0,99955.78284460024,0.00030805949062040483,0.00030805949062107096,0.11898765630570951,0.062072621568606476,1.916910439720949,-0.0015441189057988636,-0.0015441189057988,99928.60986427545,99943.59438439585,99809.9337156903,100019.15107632018,7.307572109220294,2.4395755248316213,5.7765748637056635,0.0,0.0,0.0,0.0,0,0,1.8939346826182806,1.882862728245672,0.21231800650992114,0.2125730639828942,0.0,0.0,6.320105268457741,6.320105268457741,7.455351790969729,7.444691597788418
fractal_plain_uniswap_v2_lp,downtrend,669,0.07657090534508412,2025-01-07 15:00:00+00:00,2025-12-16 13:00:00+00:00,101548.13352460795,103525.17392306446,0.019468997901152196,-0.5931806501232803,-0.9999923186419393,0.6525141279875979,-1.5325220953084802,-0.33565255253210036,-0.3569731755453921,95683.96497132954,94860.3954796765,67492.12803094012,126280.82269816824,2362.0243562607975,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,0.0,0.0,17.669468099068382,17.785385844396725
fractal_plain_uniswap_v2_lp,high_vol_chop,1573,0.1800389149593682,2025-01-09 15:00:00+00:00,2025-12-19 16:00:00+00:00,99539.50734015612,104403.0104463316,0.04886002790384958,0.1406280867908074,1.0808172235604983,0.4445375345435574,2.4313295044258987,-0.32090174167626273,-0.3440114094479988,98805.77899731387,99081.36698823476,68852.59565636827,128575.56428014896,2174.800536709647,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,0.0,0.0,17.16671262181153,17.60038342886238
fractal_plain_uniswap_v2_lp,sideways,5758,0.6590362824768227,2025-01-02 00:00:00+00:00,2025-12-31 00:00:00+00:00,100265.93181045004,104405.33184806423,0.04128421252235115,-0.03996725541153967,-0.06016704136121065,0.2513804912206435,-0.23934650246347242,-0.3251851127839058,-0.3251851127839058,101717.45999268004,101390.67605900386,70828.6047068136,131024.79596398954,4527.245453379484,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,0.0,0.0,16.947231595542274,17.614672044389447
fractal_plain_uniswap_v2_lp,uptrend,713,0.08160695891038114,2025-01-03 22:00:00+00:00,2025-12-20 02:00:00+00:00,103588.4240236344,104588.43171001192,0.009653662518790407,1.3470563340765453,35668.29303374258,0.4804217401319842,74243.711418937,-0.3154783293049188,-0.3244237148038227,100334.87441703331,99401.2262163156,70908.52107732871,129831.64036071632,1194.7765516163226,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,0.0,0.0,17.08853173073663,17.538977681448202
fractal_plain_uniswap_v2_lp,warmup,24,0.0027469383083438253,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,99850.0,99854.4572504804,4.4639463999907036e-05,4.4639463999907036e-05,0.016426496107026622,0.1280265555051559,0.12830538197495356,-0.006023637315637265,-0.0060236373156372,99661.09697284829,99664.95675575727,99248.53981403362,100001.2018868669,14.615144218440587,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0.0,,,0.0,0.0,14.910703581939458,14.889383195576835
