strategy_name,regime_segment_id,regime,start_timestamp,end_timestamp,observations,start_nav,end_nav,segment_return,segment_compounded_return,segment_annualized_return,segment_annualized_volatility,segment_sharpe,segment_local_max_drawdown,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover,number_of_rebalances,circuit_breaker_events,average_health_factor,min_health_factor,average_idle_ratio,average_hedge_error,max_hedge_error
buy_hold_50_50,1,warmup,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,100000.0,99940.57547956632,-0.0005942452043368185,-0.0005942452043364854,-0.19504102924522382,0.12057056068863424,-1.6176505121254665,-0.005486715119742636,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,2,sideways,2025-01-02 00:00:00+00:00,2025-01-03 21:00:00+00:00,46,100387.52531871798,103806.59478136542,0.03405870850777837,0.03868318031238105,1376.0679787215204,0.2314509610922824,5945.397557337707,-0.009531943471151605,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,4,sideways,2025-01-03 23:00:00+00:00,2025-01-07 14:00:00+00:00,88,103731.23436196832,103153.22292386512,-0.005572202448553165,-0.006601980737649282,-0.48282613792699813,0.18951379528509402,-2.547709717916109,-0.02060013009417694,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,5,downtrend,2025-01-07 15:00:00+00:00,2025-01-08 14:00:00+00:00,24,101548.90980579054,100170.38007863695,-0.013575032265634168,-0.028916622871102637,-0.9999776833091415,0.4229055743069354,-2.3645412689296457,-0.022408482928546247,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,6,sideways,2025-01-08 15:00:00+00:00,2025-01-08 16:00:00+00:00,2,99833.79006314788,99335.01131895628,-0.004996091442347361,-0.008339478786292598,-0.9999999999999999,0.10826751028933082,-9.236381231337361,-0.004996091442347361,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,8,sideways,2025-01-08 18:00:00+00:00,2025-01-09 14:00:00+00:00,21,98887.61467889907,98397.77195281784,-0.004953529596924855,-0.001960784313724928,-0.5590086904726527,0.3273341408538284,-1.7077616438496677,-0.018857762639847953,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,9,high_vol_chop,2025-01-09 15:00:00+00:00,2025-01-10 14:00:00+00:00,24,99440.00953175264,98499.04682473488,-0.009462616822429992,0.0010292394828366191,0.4556888359295883,0.40075462953841706,1.1370769102641274,-0.018687095614665528,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,10,sideways,2025-01-10 15:00:00+00:00,2025-01-13 10:00:00+00:00,68,98322.56046705588,96402.95484332182,-0.019523552017110646,-0.02128032756644571,-0.9374004042907353,0.2514446541074582,-3.7280585965057935,-0.02980195482117798,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,11,downtrend,2025-01-13 11:00:00+00:00,2025-01-13 20:00:00+00:00,10,95478.52376980818,96029.28035267486,0.005768381842544246,-0.0038761725846918615,-0.966697575075135,0.5243571748259822,-1.8435860544788993,-0.0079927166038668,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,12,high_vol_chop,2025-01-13 21:00:00+00:00,2025-01-13 23:00:00+00:00,3,96366.16823543428,96717.35374717027,0.003644282201591853,0.0071652457663788915,1132752436.5182807,0.12359147608662886,9165295798.589714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,14,high_vol_chop,2025-01-14 01:00:00+00:00,2025-01-14 10:00:00+00:00,10,96742.97033241988,98167.96735374715,0.014729721616266511,0.015620931246638436,788712.1756757633,0.31089301876270464,2536924.6913767587,-0.0019420682568179748,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,20,uptrend,2025-01-14 16:00:00+00:00,2025-01-14 19:00:00+00:00,4,97502.97867270344,97849.69617538423,0.0035559683140005127,0.0021736577091631126,115.18040811468167,0.22634493156924343,508.8711610025413,-0.001600170198539752,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,21,sideways,2025-01-14 20:00:00+00:00,2025-01-15 18:00:00+00:00,23,97977.3323007268,100233.97474085548,0.02303229111405325,0.024366744697885467,9596.77768068087,0.3711718400469183,25855.349585431326,-0.006212479534291382,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,22,uptrend,2025-01-15 19:00:00+00:00,2025-01-16 02:00:00+00:00,8,101167.6396997498,100409.56749672348,-0.0074932281238957454,0.0017518287219677742,5.797631110744039,0.4548712769026617,12.745652243029358,-0.009854604200323025,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,23,high_vol_chop,2025-01-16 03:00:00+00:00,2025-01-16 18:00:00+00:00,16,100084.89217204812,99523.11450017872,-0.005613011711135041,-0.008828371823967007,-0.9922106362858029,0.40867225377422906,-2.4278884292300145,-0.0159425965649318,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,24,sideways,2025-01-16 19:00:00+00:00,2025-01-17 00:00:00+00:00,6,99805.1948051948,99347.67067794592,-0.004584171476664123,-0.0017628449743953833,-0.9239241870116208,0.22952709803764945,-4.025338162294323,-0.007000113410492115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,25,high_vol_chop,2025-01-17 01:00:00+00:00,2025-01-17 07:00:00+00:00,7,100422.97152388896,100236.95341355892,-0.001852346206323796,0.008951218780919312,69700.22600045471,0.4117604742482273,169273.7170261669,-0.0037565996322005413,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
buy_hold_50_50,26,sideways,2025-01-17 08:00:00+00:00,2025-01-17 19:00:00+00:00,12,100734.39175503395,101166.74609793875,0.004292023164801595,0.009275947170338306,844.7540013857704,0.2578910317850014,3275.6237994736666,-0.003807791848559172,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,,
