strategy_name,initial_nav,final_nav,net_pnl,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover,mc_scenario,mc_path_id,mc_seed
buy_hold_50_50,100000.0,90135.31674546101,-9864.683254538992,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,0,42
fractal_dynamic_aave_hedged_lp,99925.0,54878.133337166924,-45046.866662833076,13616.343380179924,263.5627311723457,1910.3734684131796,3360.0,135.31424096307612,135314.24096307612,sideways_low_vol,0,42
fractal_fixed_hedge_lp,99925.0,58370.031138048915,-41554.968861951085,13616.343380179924,731.6713541298476,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,0,42
fractal_plain_uniswap_v2_lp,99850.0,6010.360341024778,-93839.63965897523,27232.686760359848,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,0,42
buy_hold_50_50,100000.0,84061.47305676396,-15938.526943236036,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,1,43
fractal_dynamic_aave_hedged_lp,99925.0,100622.62282985818,697.6228298581846,10258.183601947183,777.0920666323293,1910.3734684131796,1410.0,150.8058036478499,150805.8036478499,sideways_low_vol,1,43
fractal_fixed_hedge_lp,99925.0,102695.12863387872,2770.1286338787177,10258.183601947183,778.3346108263107,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,1,43
fractal_plain_uniswap_v2_lp,99850.0,89598.92387404558,-10251.076125954423,20516.367203894366,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,1,43
buy_hold_50_50,100000.0,114094.54585979099,14094.54585979099,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,2,44
fractal_dynamic_aave_hedged_lp,99925.0,192421.58721630502,92496.58721630502,66564.61979398789,1009.6612461018259,1910.3734684131796,555.0,62.901259465673895,62901.2594656739,sideways_low_vol,2,44
fractal_fixed_hedge_lp,99925.0,193002.51735001267,93077.51735001267,66564.61979398789,1019.7730982635364,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,2,44
fractal_plain_uniswap_v2_lp,99850.0,296186.07653065433,196336.07653065433,133129.23958797578,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,2,44
buy_hold_50_50,100000.0,99870.97867042104,-129.0213295789581,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,3,45
fractal_dynamic_aave_hedged_lp,99925.0,78306.14904012362,-21618.850959876378,5959.585728769545,520.558534048424,1910.3734684131796,1425.0,101.96856441746772,101968.56441746771,sideways_low_vol,3,45
fractal_fixed_hedge_lp,99925.0,78724.5198493735,-21200.480150626507,5959.585728769545,944.4852377645444,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,3,45
fractal_plain_uniswap_v2_lp,99850.0,55407.760990509385,-44442.239009490615,11919.17145753909,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,3,45
buy_hold_50_50,100000.0,113569.06767715942,13569.067677159415,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,4,46
fractal_dynamic_aave_hedged_lp,99925.0,116535.30377779611,16610.303777796114,2029.2456253948317,1001.2730977437001,1910.3734684131796,645.0,84.2685497114737,84268.5497114737,sideways_low_vol,4,46
fractal_fixed_hedge_lp,99925.0,117775.74448137199,17850.744481371992,2029.2456253948317,1030.6318551559089,1910.3734684131796,0.0,0.0,0.0,sideways_low_vol,4,46
fractal_plain_uniswap_v2_lp,99850.0,145308.2674611701,45458.26746117009,4058.4912507896634,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,4,46
buy_hold_50_50,100000.0,89518.83407758988,-10481.165922410117,0.0,0.0,0.0,0.0,0.0,0.0,sideways_low_vol,5,47
