mc_scenario,mc_path_id,mc_seed,final_nav__buy_hold_50_50,final_nav__fractal_dynamic_aave_hedged_lp,final_nav__fractal_fixed_hedge_lp,final_nav__fractal_plain_uniswap_v2_lp,max_drawdown__buy_hold_50_50,max_drawdown__fractal_dynamic_aave_hedged_lp,max_drawdown__fractal_fixed_hedge_lp,max_drawdown__fractal_plain_uniswap_v2_lp,sharpe__buy_hold_50_50,sharpe__fractal_dynamic_aave_hedged_lp,sharpe__fractal_fixed_hedge_lp,sharpe__fractal_plain_uniswap_v2_lp,dynamic_minus_plain_final_nav,dynamic_minus_fixed_final_nav,dynamic_drawdown_improvement_vs_plain,dynamic_minus_plain_sharpe
crash_recovery,0,400042,69082.66540450123,508763.1674631763,509498.339385554,889709.245650783,-0.4496937340383371,-0.6598584711414404,-0.6673368558149648,-0.8124007473461272,-1.4107474834428004,1.9450960123600092,1.9382670689483723,2.1059340537382876,-380946.07818760665,-735.1719223777181,0.15254227620468686,-0.1608380413782784
crash_recovery,1,400043,101526.45610510733,61677.20543920136,71488.49653749075,42513.21384590329,-0.3170656235765339,-0.6323847666543695,-0.5959899697484203,-0.8424495908085714,0.2657088790258949,-0.14132199610134083,-0.0008799650833494204,0.3578374133436027,19163.991593298073,-9811.291098289388,0.2100648241542019,-0.4991594094449435
crash_recovery,2,400044,165009.8979308457,16844541.97611152,16846601.814544193,33647005.808445305,-0.36301227221750476,-0.9280921186291066,-0.9280938147513753,-0.930762395009981,1.2848679380144805,3.3611439144121147,3.361055221061516,3.535415996737515,-16802463.832333785,-2059.838432673365,0.00267027638087447,-0.17427208232540048
crash_recovery,3,400045,80314.5806110032,119680.71979047243,117643.9227493383,116530.10252925073,-0.39094639231213624,-0.8094153847785298,-0.8081536602250301,-0.9025794417876878,-0.31213410979199385,0.751615883147481,0.7382970663819811,0.9531153058354755,3150.617261221705,2036.7970411341375,0.09316405700915797,-0.2014994226879946
crash_recovery,4,400046,69847.70099738888,46375.1726556903,70007.82714527438,12024.525612008845,-0.5064714490960449,-0.8522630384835411,-0.8127102951986588,-0.998272380831668,-0.7258805253849689,0.13952166307683816,0.42284746753844227,1.0166099170069343,34350.647043681456,-23632.654489584078,0.1460093423481269,-0.8770882539300962
crash_recovery,5,400047,59407.5513717051,72129.00101152377,77958.15765898132,18520.36764309903,-0.43485668529374066,-0.4605541909924534,-0.45774274437802265,-0.8884541927853054,-1.6071953509770622,-0.38256927877243424,-0.2487532084161773,-0.08247457236673728,53608.63336842474,-5829.156647457552,0.4279000017928519,-0.30009470640569696
crash_recovery,6,400048,105846.54026174649,209477.13626857768,214088.6990628148,331148.73404657154,-0.23045201569225227,-0.7618304408836989,-0.7553293652618045,-0.82734100272349,0.35040186927106515,1.2887255278333842,1.2924652295250514,1.8174876777287872,-121671.59777799385,-4611.562794237107,0.06551056183979109,-0.5287621498954029
crash_recovery,7,400049,125951.04111366418,274585.83969671896,276370.40623381437,473439.2630396485,-0.33037118045892344,-0.6695331961150743,-0.6670856010424449,-0.7641242589472212,0.7269823417887671,1.425366037264829,1.4305440890241017,1.7651054970924214,-198853.4233429295,-1784.5665370954084,0.09459106283214691,-0.33973945982759246
crash_recovery,8,400050,87781.53443749392,516646.9021340382,517131.28626638924,921530.3073570721,-0.383677020328303,-0.8471087893714742,-0.8468930963324788,-0.8677183754349787,-0.1596195416835622,1.8270065172533363,1.827791610833078,2.131704719114032,-404883.4052230339,-484.3841323510278,0.020609586063504493,-0.3046982018606956
crash_recovery,9,400051,67527.49510167535,71057.08188320893,81174.13718009523,32071.531395025668,-0.4476820304024577,-0.676521087534262,-0.6445801459020171,-0.9104325844848261,-1.0626561622902329,-0.036725305721594714,0.10219642919495185,0.21313684699110252,38985.55048818326,-10117.055296886305,0.23391149695056412,-0.24986215271269724
