mc_scenario,strategy_name,n_paths,final_nav_mean,final_nav_median,final_nav_p05,final_nav_p95,net_pnl_mean,net_pnl_median,net_pnl_p05,net_pnl_p95,annualized_return_mean,annualized_return_median,annualized_return_p05,annualized_return_p95,annualized_volatility_mean,annualized_volatility_median,annualized_volatility_p05,annualized_volatility_p95,sharpe_mean,sharpe_median,sharpe_p05,sharpe_p95,max_drawdown_mean,max_drawdown_median,max_drawdown_p05,max_drawdown_p95,turnover_mean,turnover_median,turnover_p05,turnover_p95,number_of_rebalances_mean,number_of_rebalances_median,number_of_rebalances_p05,number_of_rebalances_p95,total_costs_mean,total_costs_median,total_costs_p05,total_costs_p95,average_health_factor_mean,average_health_factor_median,average_health_factor_p05,average_health_factor_p95,average_idle_ratio_mean,average_idle_ratio_median,average_idle_ratio_p05,average_idle_ratio_p95,mc_max_hedge_error_mean,mc_max_hedge_error_median,mc_max_hedge_error_p05,mc_max_hedge_error_p95,mc_lp_delta_change_mean,mc_lp_delta_change_median,mc_lp_delta_change_p05,mc_lp_delta_change_p95
sideways_low_vol,fractal_fixed_hedge_lp,12,116087.11347592542,111029.22924834338,69251.95828288794,189824.53597523927,16162.113475925435,11104.229248343385,-30673.041717112064,89899.53597523927,0.16177018007489713,0.11113905881881947,-0.306988839177904,0.8998093112274616,0.45469468493471843,0.439558145506271,0.2828333143783551,0.7297082968367385,0.2508305590523881,0.5174579278154938,-1.0635674019599306,1.3695443864208119,-0.36679044398080135,-0.35675157691381876,-0.5055778576620895,-0.243587846181489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97981329172785,1.9307738654938866,1.7043406580985714,2.325158941621329,0.2146669590447794,0.19735059332608273,0.14885528006692453,0.29085877794151815,,,,,,,,
sideways_low_vol,fractal_plain_uniswap_v2_lp,12,129449.98844279726,115504.91903541304,29481.149957639474,293227.4828066165,29599.988442797243,15654.919035413048,-70368.85004236053,193377.48280661652,0.2965180141043688,0.15680416609455228,-0.704776298909665,1.937041069692547,0.9579019046862776,0.8576164439243974,0.8419666211204715,1.413357251466006,0.4751524677997701,0.721412302354815,-0.8156357069735324,1.6352225791507866,-0.628384154394149,-0.6354758300433767,-0.847778538069537,-0.4277136728934717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
strong_downtrend,buy_hold_50_50,12,73847.25540638895,69938.74375942236,58547.48378758547,95669.82245479086,-26152.744593611045,-30061.256240577648,-41452.51621241453,-4330.177545209145,-0.2615518177626858,-0.30064111079266603,-0.41456089440099764,-0.04330644555736504,0.2916945676888086,0.2891012544009641,0.23225833431103005,0.35509498343114604,-1.0031357929816627,-1.0042193020586558,-2.056688672324736,-0.021683813859276285,-0.4106576162682285,-0.43602392649241256,-0.47126203300532704,-0.3254729230843589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
strong_downtrend,fractal_dynamic_aave_hedged_lp,12,1695257.4449620424,169057.23411528056,88545.87370216493,8546578.679653456,1595332.4449620424,69132.23411528056,-11379.126297835068,8446653.679653456,15.974144401656021,0.6919432466135605,-0.11388669986131222,84.57766940677195,1.3042000533302693,0.8828639483275094,0.5769696087970532,3.0271785823618256,1.271181021059381,1.2242138297543514,0.0611934453393459,2.8759020634822727,-0.5890376901914584,-0.5618794768031116,-0.9083278390830295,-0.3552726126020909,189394.82188460245,169534.0051674037,38395.800276988855,362319.1807048793,110.08333333333333,96.0,15.5,238.95,1840.6448218846024,1624.9331125932579,270.8958002769889,3928.1878394874384,2.216740685402343,2.0034656210801987,1.6044197234389972,2.9299413840073427,0.18073068155486718,0.18151228060512645,0.10172048139212193,0.24878974670611426,0.8492448544570658,0.8492448544570659,0.8492448544570659,0.8492448544570659,-0.6659922236333838,-0.6659922236333837,-0.6659922236333837,-0.6659922236333837
strong_downtrend,fractal_fixed_hedge_lp,12,1696670.273882102,167050.79837140348,89354.08793733134,8550243.20379743,1596745.273882102,67125.79837140348,-10570.912062668669,8450318.20379743,15.988286257468523,0.671860611422169,-0.10579892939370668,84.61435914480194,1.3024892038835796,0.8858650178059735,0.5620736603852047,3.022538099145639,1.281945822704799,1.2427815916660245,0.0751810579203867,2.8767567414747024,-0.5876607759244775,-0.5680240577689666,-0.9083031968897401,-0.3402534277460639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2563326894710283,2.98224838166566,2.0984193444355377,4.878628342197374,0.15723560300316355,0.15297356877009385,0.09894565855034711,0.21865453567874202,,,,,,,,
strong_downtrend,fractal_plain_uniswap_v2_lp,12,3268655.125639258,213845.29335029464,48335.58964688393,16979929.118591934,3168805.125639258,113995.29335029463,-51514.41035311607,16880079.118591934,31.755702669296898,1.141853311618334,-0.5159559327241655,169.16274546335222,1.98351181489984,1.4799232333501289,1.4318424426654628,3.8021412960706273,1.4955196334978007,1.465357545117596,0.2071138145100863,3.2320736580852767,-0.7858385540728792,-0.7862978197008944,-0.9679276572662698,-0.6715042932921381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
strong_uptrend,buy_hold_50_50,12,162224.11527758426,142949.39210766152,88764.14223570739,300357.8557303638,62224.11527758424,42949.39210766151,-11235.857764292607,200357.85573036384,0.6223500989813847,0.4295525444945425,-0.11237055422932649,2.00395586028463,0.3272094483135548,0.329135392854655,0.24013347019450096,0.4001454104521902,1.162538609968476,1.2028559672503518,-0.34095365836613745,2.96467845884896,-0.230434523536435,-0.22035833230583307,-0.3253489462329516,-0.1658413310327864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
strong_uptrend,fractal_dynamic_aave_hedged_lp,12,193030.06769989207,138440.48606299248,60037.03867685063,566726.8381988523,93105.0676998921,38515.486062992495,-39887.96132314937,466801.83819885226,0.9319680098817926,0.3854956315685729,-0.3992138371358814,4.67264590916293,0.7542434246572235,0.7142839748672335,0.42637121390278027,1.3070240554478298,0.7625816556645444,0.8400857499042771,-0.9825549569465465,2.5224152484829343,-0.5386461466713962,-0.5056412979226743,-0.8262720496577788,-0.34663653284700446,141252.97374006323,162066.58963186888,45285.72252310961,215665.56569696064,89.75,91.0,20.0,161.95,1487.5029737400635,1527.0665896318687,346.4465306827392,2622.2574489732124,2.2678223115344864,1.9219456758286368,1.401186514819332,4.195135179116977,0.13383025895150114,0.13008040452725322,0.05953074082490481,0.2163285228013648,0.8492448544570658,0.8492448544570659,0.8492448544570659,0.8492448544570659,-0.6659922236333838,-0.6659922236333837,-0.6659922236333837,-0.6659922236333837
strong_uptrend,fractal_fixed_hedge_lp,12,183775.99509585055,137101.39494227016,28836.01358060653,551934.0942085736,83850.99509585057,37176.39494227015,-71088.98641939346,452009.0942085736,0.8393488929073571,0.37209270319626275,-0.7114581940621814,4.524561949042719,0.8331946781141015,0.7389717161744587,0.42620143572193075,1.3551711046878776,0.6961605237863052,0.8013868708977151,-1.1462389726198527,2.460939912461604,-0.5899980611706478,-0.5184828828114993,-0.9240674214229633,-0.3428094351109728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8046142258605096,1.6384605981053249,1.053419745178838,3.039643847025357,0.21031587632996565,0.18716570884410788,0.15215358573100096,0.3407131283229677,,,,,,,,
strong_uptrend,fractal_plain_uniswap_v2_lp,12,319020.29375333316,194109.18899980222,34068.51191650035,1078752.20540065,219170.29375333316,94259.18899980222,-65781.48808349966,978902.2054006499,2.1956088960137703,0.9441557281955338,-0.6588402443919117,9.80666446025888,1.2647704573235314,1.1611627452255924,1.1465133944161958,1.780948969159132,1.1029107512354805,1.1531305108236702,-0.41134160550851645,2.6326137205438105,-0.7154928617679387,-0.7122489576947364,-0.929740016236667,-0.48551675118166393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,
