timestamp,strategy_name,eth_price_usdc,borrowed_weth,target_weth_debt,hedge_error,turnover,gas_cost,slippage_cost,health_factor,regime,mc_scenario,mc_path_id,mc_seed
2025-01-02 20:00:00+00:00,fractal_dynamic_aave_hedged_lp,3023.4407159367315,6.516255304293958,6.516255304293958,0.0,1661.3673606108237,15.0,1.6613673606108237,2.0306835205017686,sideways_low_vol,sideways_low_vol,0,42
2025-01-03 18:00:00+00:00,fractal_dynamic_aave_hedged_lp,3035.7597375363944,5.9754696267183744,5.9754696267183744,0.0,1641.6953866202953,15.0,1.6416953866202952,2.205683803623318,sideways_low_vol,sideways_low_vol,0,42
2025-01-06 23:00:00+00:00,fractal_dynamic_aave_hedged_lp,2932.864318697319,5.51286525961311,5.51286525961311,0.0,1356.755841956585,15.0,1.356755841956585,2.4754633307261633,sideways_low_vol,sideways_low_vol,0,42
2025-01-09 00:00:00+00:00,fractal_dynamic_aave_hedged_lp,2943.4285487829607,5.079982337008315,5.079982337008315,0.0,1274.1599526755597,15.0,1.2741599526755598,2.6773259340235778,sideways_low_vol,sideways_low_vol,0,42
2025-01-12 13:00:00+00:00,fractal_dynamic_aave_hedged_lp,2906.115221290734,5.537872870443203,5.537872870443203,0.0,1330.6826489000623,15.0,1.3306826489000623,2.4883940854672746,sideways_low_vol,sideways_low_vol,0,42
2025-01-19 06:00:00+00:00,fractal_dynamic_aave_hedged_lp,2888.830219692039,5.114254495287396,5.114254495287396,0.0,1223.7615637669348,15.0,1.2237615637669348,2.712501191503597,sideways_low_vol,sideways_low_vol,0,42
2025-01-24 15:00:00+00:00,fractal_dynamic_aave_hedged_lp,2900.8572783259274,4.691616158984334,4.691616158984334,0.0,1226.0134939642983,15.0,1.2260134939642984,2.9462207534811964,sideways_low_vol,sideways_low_vol,0,42
2025-01-25 11:00:00+00:00,fractal_dynamic_aave_hedged_lp,2861.572487077918,4.323678162082207,4.323678162082207,0.0,1052.8812488856856,15.0,1.0528812488856856,3.241105678557468,sideways_low_vol,sideways_low_vol,0,42
2025-01-26 05:00:00+00:00,fractal_dynamic_aave_hedged_lp,2848.3693816917626,3.94338771369627,3.94338771369627,0.0,1083.2076693323354,15.0,1.0832076693323354,3.570417309512266,sideways_low_vol,sideways_low_vol,0,42
2025-01-28 05:00:00+00:00,fractal_dynamic_aave_hedged_lp,2825.257087246994,4.307027859516049,4.307027859516049,0.0,1027.3768991848613,15.0,1.0273768991848613,3.2963882043965516,sideways_low_vol,sideways_low_vol,0,42
2025-01-29 00:00:00+00:00,fractal_dynamic_aave_hedged_lp,2757.7421139573557,4.707568410998897,4.707568410998897,0.0,1104.5875471719548,15.0,1.1045875471719548,3.090003971641729,sideways_low_vol,sideways_low_vol,0,42
2025-01-30 22:00:00+00:00,fractal_dynamic_aave_hedged_lp,2715.233586684192,5.154651794485027,5.154651794485027,0.0,1213.935818889949,15.0,1.213935818889949,2.8667400821909577,sideways_low_vol,sideways_low_vol,0,42
