timestamp,strategy_name,nav,eth_price_usdc,lp_value,lp_fees,borrowed_weth,aave_debt_value,turnover,rebalance_event,gas_cost,slippage_cost,health_factor,idle_ratio,regime,drawdown
2025-01-01 00:00:00+00:00,fractal_plain_uniswap_v2_lp,99850.0,3357.2,99850.0,0.0,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,0.0
2025-01-01 01:00:00+00:00,fractal_plain_uniswap_v2_lp,99667.77767254243,3339.77,99667.77767254243,0.566920198667776,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0018249607156490821
2025-01-01 02:00:00+00:00,fractal_plain_uniswap_v2_lp,99761.37112399934,3355.12,99761.37112399934,0.41659326617644965,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0008876201902919822
2025-01-01 03:00:00+00:00,fractal_plain_uniswap_v2_lp,99806.71342723593,3347.87,99806.71342723593,0.16853027876330628,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.00043351600164320825
2025-01-01 04:00:00+00:00,fractal_plain_uniswap_v2_lp,99631.89293737322,3333.82,99631.89293737322,0.34421557259909563,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0021843471469882303
2025-01-01 05:00:00+00:00,fractal_plain_uniswap_v2_lp,99542.8706966397,3337.99,99542.8706966397,0.23843297254488616,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0030759068939438805
2025-01-01 06:00:00+00:00,fractal_plain_uniswap_v2_lp,99664.8441537159,3338.52,99664.8441537159,0.8747851583025885,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0018543399728002674
2025-01-01 07:00:00+00:00,fractal_plain_uniswap_v2_lp,99685.44328147566,3339.97,99685.44328147566,0.2644268851449132,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0016480392441096114
2025-01-01 08:00:00+00:00,fractal_plain_uniswap_v2_lp,99539.62067652194,3330.47,99539.62067652194,0.3149699149314271,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0031084559186586036
2025-01-01 09:00:00+00:00,fractal_plain_uniswap_v2_lp,99248.53981403362,3328.03,99248.53981403362,0.5613912002382131,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.006023637315637265
2025-01-01 10:00:00+00:00,fractal_plain_uniswap_v2_lp,99463.86012598524,3320.36,99463.86012598524,0.24296353177634522,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0038671995394568004
2025-01-01 11:00:00+00:00,fractal_plain_uniswap_v2_lp,99665.06935779864,3334.23,99665.06935779864,0.579389022209849,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0018520845488368964
2025-01-01 12:00:00+00:00,fractal_plain_uniswap_v2_lp,99707.6379040186,3340.66,99707.6379040186,0.6333901391452743,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0014257595992127614
2025-01-01 13:00:00+00:00,fractal_plain_uniswap_v2_lp,99623.2173661758,3336.71,99623.2173661758,0.45607945134381644,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0022712331880240244
2025-01-01 14:00:00+00:00,fractal_plain_uniswap_v2_lp,99449.31030771908,3338.96,99449.31030771908,0.5912863084336051,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.004012916297255087
2025-01-01 15:00:00+00:00,fractal_plain_uniswap_v2_lp,99545.45619344997,3345.61,99545.45619344997,0.4709729562590006,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0030500130851280893
2025-01-01 16:00:00+00:00,fractal_plain_uniswap_v2_lp,99604.15668006187,3331.62,99604.15668006187,1.0623758236254233,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0024621263889647027
2025-01-01 17:00:00+00:00,fractal_plain_uniswap_v2_lp,99563.51627615397,3336.65,99563.51627615397,0.7965146613220844,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0028691409498851073
2025-01-01 18:00:00+00:00,fractal_plain_uniswap_v2_lp,99533.24211323203,3340.57,99533.24211323203,0.5542889741996788,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0031723373737403415
2025-01-01 19:00:00+00:00,fractal_plain_uniswap_v2_lp,99695.11777467009,3349.5,99695.11777467009,0.6679658898768661,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.0015511489767643383
2025-01-01 20:00:00+00:00,fractal_plain_uniswap_v2_lp,99841.1183766439,3353.42,99841.1183766439,1.2206942381472636,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-8.89496580479543e-05
2025-01-01 21:00:00+00:00,fractal_plain_uniswap_v2_lp,99919.89195156448,3361.73,99919.89195156448,1.5402231625284877,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,0.0
2025-01-01 22:00:00+00:00,fractal_plain_uniswap_v2_lp,100001.2018868669,3354.77,100001.2018868669,0.9005528442282156,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,0.0
2025-01-01 23:00:00+00:00,fractal_plain_uniswap_v2_lp,99854.45725048041,3353.21,99854.45725048041,1.1481817679760233,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,warmup,-0.001467428727031761
2025-01-02 00:00:00+00:00,fractal_plain_uniswap_v2_lp,100265.93181045004,3383.22,100265.93181045004,1.2290781719250763,0.0,0.0,0.0,False,0.0,0.0,inf,0.0,sideways,0.0
