strategy_name,initial_nav,final_nav,net_pnl,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover
buy_hold_50_50,100000.0,94137.82318598832,-5862.1768140116765,0.0,0.0,0.0,0.0,0.0,0.0
fractal_dynamic_aave_hedged_lp,99925.0,102780.79433122576,2855.7943312257557,5136.731021092346,798.6016657126895,2160.8043784656056,120.0,19.34696596291122,19346.965962911218
fractal_fixed_hedge_lp,99925.0,105835.59584940346,5910.595849403457,5136.731021092346,722.8932838901956,2160.8043784656056,0.0,0.0,0.0
fractal_plain_uniswap_v2_lp,99850.0,104405.33184806425,4555.331848064248,10273.462042184692,0.0,0.0,0.0,0.0,0.0
