timestamp,strategy_name,eth_price_usdc,nav,lp_value,lp_eth_delta,borrowed_weth,aave_debt_value,lp_fees,cumulative_lp_fees,regime,drawdown
2025-01-01 00:00:00+00:00,plain_uniswap_v2_lp,3357.2,100001.03793908191,100000.0,14.893363517216729,0.0,0.0,1.0379390819106853,1.0379390819106853,warmup,0.0
2025-01-01 01:00:00+00:00,plain_uniswap_v2_lp,3339.77,99818.26729970622,99816.6607345474,14.943642935673326,0.0,0.0,0.5686260768984714,1.6065651588091567,warmup,-0.001827687423474944
2025-01-01 02:00:00+00:00,plain_uniswap_v2_lp,3355.12,99912.7110024701,99910.68659050469,14.88928661128435,0.0,0.0,0.4178468065962384,2.0244119654053954,warmup,-0.0008832601984153365
2025-01-01 03:00:00+00:00,plain_uniswap_v2_lp,3347.87,99958.60758873164,99956.4141393753,14.928359544930851,0.0,0.0,0.16903739093611464,2.19344935634151,warmup,-0.00042429909953656253
2025-01-01 04:00:00+00:00,plain_uniswap_v2_lp,3333.82,99783.43009667152,99780.8913959886,14.964948826869566,0.0,0.0,0.3452513265788321,2.538700682920342,warmup,-0.0021760558379698702
2025-01-01 05:00:00+00:00,plain_uniswap_v2_lp,3337.99,99694.48523693136,99691.70738582463,14.932894853762988,0.0,0.0,0.2391504238163351,2.7778511067366773,warmup,-0.003065495203532831
2025-01-01 06:00:00+00:00,plain_uniswap_v2_lp,3338.52,99817.06486586691,99813.40959734964,14.948751182762068,0.0,0.0,0.8774174105341913,3.6552685172708688,warmup,-0.0018397116370639788
2025-01-01 07:00:00+00:00,plain_uniswap_v2_lp,3339.97,99838.6033943705,99834.68290330042,14.945446052404726,0.0,0.0,0.265222552803323,3.920491070074192,warmup,-0.0016243285875729985
2025-01-01 08:00:00+00:00,plain_uniswap_v2_lp,3330.47,99692.6072278022,99688.37081906419,14.966111512648995,0.0,0.0,0.315917667935233,4.236408738009425,warmup,-0.003084275099900502
2025-01-01 09:00:00+00:00,plain_uniswap_v2_lp,3328.03,99400.96641278378,99396.1669236042,14.933183733861203,0.0,0.0,0.563080441562902,4.799489179572327,warmup,-0.006000652979858967
2025-01-01 10:00:00+00:00,plain_uniswap_v2_lp,3320.36,99617.49770982674,99612.45452603155,15.000249148591049,0.0,0.0,0.2436946156232147,5.043183795195542,warmup,-0.003835362483825544
2025-01-01 11:00:00+00:00,plain_uniswap_v2_lp,3334.23,99819.55608028329,99813.93176406863,14.968063355567647,0.0,0.0,0.5811324194682539,5.624316214663796,warmup,-0.001814799751470364
2025-01-01 12:00:00+00:00,plain_uniswap_v2_lp,3340.66,99862.83384883111,99856.57423658922,14.945635628377211,0.0,0.0,0.6352960272269548,6.259612241890752,warmup,-0.0013820265579141955
2025-01-01 13:00:00+00:00,plain_uniswap_v2_lp,3336.71,99778.79458333098,99772.07751928232,14.95066660262389,0.0,0.0,0.4574518067641088,6.71706404865486,warmup,-0.002222410490242299
2025-01-01 14:00:00+00:00,plain_uniswap_v2_lp,3338.96,99604.82168563249,99597.51155607888,14.914451139887701,0.0,0.0,0.5930655049484501,7.310129553603311,warmup,-0.003962121410087671
2025-01-01 15:00:00+00:00,plain_uniswap_v2_lp,3345.61,99701.84994244223,99694.06742276199,14.899236226392494,0.0,0.0,0.472390126638917,7.782519680242228,warmup,-0.002991848912827666
