timestamp,strategy_name,eth_price_usdc,borrowed_weth,target_weth_debt,hedge_error,turnover,gas_cost,slippage_cost,health_factor,regime
2025-02-02 22:00:00+00:00,fractal_dynamic_aave_hedged_lp,2874.7,6.884919205089041,6.884919205089041,0.0,1623.670623633997,15.0,1.6236706236339968,2.028899356153361,downtrend
2025-02-25 06:00:00+00:00,fractal_dynamic_aave_hedged_lp,2480.41,7.502932195403062,7.502932195403062,0.0,1532.9256013048014,15.0,1.5329256013048014,2.1634694517285356,downtrend
2025-03-04 01:00:00+00:00,fractal_dynamic_aave_hedged_lp,2054.89,8.270998728055968,8.270998728055968,0.0,1578.2922372831297,15.0,1.5782922372831296,2.3708885385183045,downtrend
2025-04-03 12:00:00+00:00,fractal_dynamic_aave_hedged_lp,1759.4,9.043870217630626,9.043870217630626,0.0,1359.790098757654,15.0,1.359790098757654,2.5416033523073267,downtrend
2025-04-07 06:00:00+00:00,fractal_dynamic_aave_hedged_lp,1429.59,10.057826344223763,10.057826344223763,0.0,1449.5415390162816,15.0,1.4495415390162816,2.8138781773233466,downtrend
2025-04-22 15:00:00+00:00,fractal_dynamic_aave_hedged_lp,1703.95,9.254466712896251,9.254466712896251,0.0,1368.8846438005132,15.0,1.3688846438005131,2.570434085458371,high_vol_chop
2025-05-08 15:00:00+00:00,fractal_dynamic_aave_hedged_lp,2051.65,8.490849572960302,8.490849572960302,0.0,1566.6751051495899,15.0,1.56667510514959,2.331235171910289,uptrend
2025-05-09 08:00:00+00:00,fractal_dynamic_aave_hedged_lp,2412.86,7.835739139681324,7.835739139681324,0.0,1580.6897600415164,15.0,1.5806897600415162,2.148149618720166,uptrend
2025-07-10 21:00:00+00:00,fractal_dynamic_aave_hedged_lp,2973.19,7.198146398989271,7.198146398989271,0.0,1895.684360698203,15.0,1.895684360698203,1.911801678069623,uptrend
2025-07-18 00:00:00+00:00,fractal_dynamic_aave_hedged_lp,3541.8,6.582083370486803,6.582083370486803,0.0,2181.9720343500426,15.0,2.181972034350043,1.7565714186369294,sideways
2025-08-09 09:00:00+00:00,fractal_dynamic_aave_hedged_lp,4220.42,6.073676766247456,6.073676766247456,0.0,2145.6894006638263,15.0,2.1456894006638265,1.6017657199784363,uptrend
2025-10-30 19:00:00+00:00,fractal_dynamic_aave_hedged_lp,3686.18,6.627756153769947,6.627756153769947,0.0,2042.4363566976565,15.0,2.0424363566976567,1.6968943333389979,downtrend
2025-11-14 13:00:00+00:00,fractal_dynamic_aave_hedged_lp,3119.65,7.2229237316026405,7.2229237316026405,0.0,1856.714534185763,15.0,1.8567145341857627,1.8428252299186267,downtrend
