strategy_name,initial_nav,final_nav,net_pnl,total_lp_fees,total_aave_borrow_cost,total_aave_supply_yield,total_gas_cost,total_slippage_cost,total_turnover
buy_hold_50_50,100000.0,94137.82318598832,-5862.1768140116765,0.0,0.0,0.0,0.0,0.0,0.0
fractal_dynamic_aave_hedged_lp,99925.0,103761.01122053107,3836.0112205310725,5136.731021092346,901.1246673722894,2160.8043784656056,195.0,22.182966295582972,22182.966295582977
fractal_fixed_hedge_lp,99925.0,106031.85821449061,6106.85821449061,5136.731021092346,819.2687227242286,2160.8043784656056,0.0,0.0,0.0
fractal_plain_uniswap_v2_lp,99850.0,104405.33184806425,4555.331848064248,10273.462042184692,0.0,0.0,0.0,0.0,0.0
